Outbound Flight Date,Return Flight Date,Price,Outbound Flight Airlines,Outbound Flight Departure Time,Outbound Flight Arrival Time,Outbound Flight Arrival + Days,Outbound Flight Duration,Outbound Flight Stops,Outbound Flight Connecting Airports,Outbound Flight Departure Airport,Outbound Flight Arrival Airport,Return Flight Airlines,Return Flight Departure Time,Return Flight Arrival Time,Return Flight Arrival + Days,Return Flight Duration,Return Flight Stops,Return Flight Connecting Airports,Return Flight Departure Airport,Return Flight Arrival Airport
2024-05-24,2024-05-31,"1,405 €",Lufthansa,['13:40'],['16:45'],+1,21h 05,1 stop,['FRA'],['VNO'],['HND'],ANA (All Nippon Airways) + Lufthansa,['09:40'],['23:05'],0,19h 25,1 stop,['MUC'],['HND'],['VNO']
2024-05-24,2024-05-31,"1,414 €",Lufthansa,['06:00'],['08:00'],+1,20h,2 stops,"['FRA, MUC']",['VNO'],['HND'],Lufthansa,['09:40'],['23:55'],0,20h 15,2 stops,"['MUC, FRA']",['HND'],['VNO']
2024-05-24,2024-05-31,"1,414 €",Lufthansa,['06:00'],['08:00'],+1,20h,2 stops,"['FRA, MUC']",['VNO'],['HND'],Lufthansa,['22:45'],['13:00'],+1,20h 15,2 stops,"['MUC, FRA']",['HND'],['VNO']
2024-05-24,2024-05-31,"1,444 €",Lufthansa,['06:00'],['08:00'],+1,20h,2 stops,"['FRA, MUC']",['VNO'],['HND'],Lufthansa,['09:40'],['23:05'],0,19h 25,1 stop,['MUC'],['HND'],['VNO']
2024-05-24,2024-05-31,"1,377 €",Lufthansa,['06:00'],['09:50'],+1,21h 50,1 stop,['FRA'],['VNO'],['HND'],Austrian Airlines + LOT,['11:10'],['00:40'],+1,19h 30,2 stops,"['VIE, WAW']",['NRT'],['VNO']
2024-05-24,2024-05-31,950 €,Turkish Airlines,['11:35'],['19:20'],+1,25h 45,1 stop,['IST'],['VNO'],['HND'],Turkish Airlines,['06:25'],['10:40'],+1,34h 15,2 stops,"['OSA, IST']",['HND'],['VNO']
2024-05-24,2024-05-31,"1,122 €",Finnair + Japan Airlines,['21:40'],['13:50'],+2,34h 10,1 stop,['HEL'],['VNO'],['HND'],Finnair,['23:05'],['09:40'],+1,16h 35,1 stop,['HEL'],['NRT'],['VNO']
2024-05-24,2024-05-31,786 €,Turkish Airlines,['11:35'],['07:55'],+2,38h 20,2 stops,"['IST, KIX']",['VNO'],['HND'],Turkish Airlines,['06:25'],['10:40'],+1,34h 15,2 stops,"['OSA, IST']",['HND'],['VNO']
2024-05-24,2024-05-31,"1,519 €",Turkish Airlines,['11:35'],['08:55'],+1,15h 20,1 stop,['IST'],['VNO'],['NRT'],Emirates + LOT,['00:05'],['16:20'],0,22h 15,2 stops,"['DXB, WAW']",['HND'],['VNO']
2024-05-24,2024-05-31,"1,417 €",British Airways + Japan Airlines,['10:10'],['13:05'],+1,20h 55,1 stop,['HEL'],['VNO'],['NRT'],Japan Airlines + Lufthansa,['10:30'],['23:55'],0,19h 25,1 stop,['FRA'],['NRT'],['VNO']
2024-05-24,2024-05-31,"1,358 €",Lufthansa,['06:00'],['09:50'],+1,21h 50,1 stop,['FRA'],['VNO'],['HND'],Lufthansa,['22:45'],['13:00'],+1,20h 15,2 stops,"['MUC, FRA']",['HND'],['VNO']
2024-05-24,2024-05-31,"1,131 €",Finnair,['21:40'],['13:50'],+2,34h 10,1 stop,['HEL'],['VNO'],['HND'],Finnair,['23:05'],['09:40'],+1,16h 35,1 stop,['HEL'],['NRT'],['VNO']
2024-05-24,2024-05-31,"1,292 €",airBaltic + Japan Airlines,['15:30'],['17:20'],+1,19h 50,1 stop,['CDG'],['VNO'],['HND'],Japan Airlines + British Airways,['23:05'],['17:40'],+1,24h 35,1 stop,['HEL'],['NRT'],['VNO']
2024-05-24,2024-05-31,"1,423 €",airBaltic + Japan Airlines,['15:30'],['17:20'],+1,19h 50,1 stop,['CDG'],['VNO'],['HND'],Japan Airlines + Finnair,['19:10'],['09:40'],+1,20h 30,2 stops,"['NGO, HEL']",['HND'],['VNO']
