,Outbound Flight Date,Return Flight Date,"Price, €",Outbound Flight Airlines,Outbound Flight Departure Time,Outbound Flight Arrival Time,Outbound Flight Arrival + Days,Outbound Flight Duration,Outbound Flight Stops,Outbound Flight Connecting Airports,Outbound Flight Departure Airport,Outbound Flight Arrival Airport,Return Flight Airlines,Return Flight Departure Time,Return Flight Arrival Time,Return Flight Arrival + Days,Return Flight Duration,Return Flight Stops,Return Flight Connecting Airports,Return Flight Departure Airport,Return Flight Arrival Airport,"Outbound Flight Duration, min","Return Flight Duration, min"
1483,2024-05-17,2024-05-24,861,Turkish Airlines,20:35,08:55,2,30h 20,1,IST,VNO,NRT,Japan Airlines + Turkish Airlines,20:35,08:55,1,37h,2,"KIX, IST",HND,VNO,1820,2220
1484,2024-05-17,2024-05-24,1392,Lufthansa + ANA (All Nippon Airways),06:00,08:10,1,20h 10,1,FRA,VNO,HND,ANA (All Nippon Airways),06:00,08:10,1,21h 30,1,FRA,HND,VNO,1210,1290
1485,2024-05-17,2024-05-24,1397,Lufthansa + ANA (All Nippon Airways),06:00,08:10,1,20h 10,1,FRA,VNO,HND,ANA (All Nippon Airways) + Lufthansa,06:00,08:10,1,21h 30,1,FRA,HND,VNO,1210,1290
1486,2024-05-17,2024-05-24,1137,Lufthansa + ANA (All Nippon Airways),06:00,08:10,1,20h 10,1,FRA,VNO,HND,Lufthansa,06:00,08:10,1,31h 10,2,"MUC, FRA",HND,VNO,1210,1870
1487,2024-05-17,2024-05-24,1413,Lufthansa,06:00,09:50,1,21h 50,1,FRA,VNO,HND,Austrian Airlines + LOT,06:00,09:50,1,19h 30,2,"VIE, WAW",NRT,VNO,1310,1170
1488,2024-05-17,2024-05-24,1536,Lufthansa,06:00,06:55,1,18h 55,2,"FRA, MUC",VNO,HND,ANA (All Nippon Airways) + Lufthansa,06:00,06:55,0,19h 25,1,MUC,HND,VNO,1135,1165
1489,2024-05-17,2024-05-24,1519,Turkish Airlines,20:35,19:20,1,16h 45,1,IST,VNO,HND,Emirates + LOT,20:35,19:20,0,22h 15,2,"DXB, WAW",HND,VNO,1005,1335
1490,2024-05-17,2024-05-24,1516,Lufthansa,06:00,06:55,1,18h 55,2,"FRA, MUC",VNO,HND,Lufthansa,06:00,06:55,0,20h 15,2,"MUC, FRA",HND,VNO,1135,1215
1491,2024-05-17,2024-05-24,1516,Lufthansa,06:00,06:55,1,18h 55,2,"FRA, MUC",VNO,HND,Lufthansa,06:00,06:55,1,20h 15,2,"MUC, FRA",HND,VNO,1135,1215
1492,2024-05-17,2024-05-24,1550,Lufthansa,06:00,08:10,1,20h 10,1,FRA,VNO,HND,ANA (All Nippon Airways) + Lufthansa,06:00,08:10,0,18h 10,1,FRA,HND,VNO,1210,1090
1493,2024-05-17,2024-05-24,1579,Finnair + Japan Airlines,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Japan Airlines + Lufthansa,13:30,13:50,0,19h 25,1,FRA,NRT,VNO,1100,1165
1494,2024-05-17,2024-05-24,1315,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Finnair,13:30,13:55,1,27h,2,"KIX, HEL",HND,VNO,1105,1620
1495,2024-05-17,2024-05-24,1531,LOT + Asiana Airlines,09:00,11:20,1,20h 20,2,"WAW, ICN",VNO,NRT,Turkish Airlines,09:00,11:20,1,18h 45,1,IST,HND,VNO,1220,1125
1496,2024-05-17,2024-05-24,1455,British Airways + Japan Airlines,10:10,13:55,1,21h 45,1,HEL,VNO,HND,Japan Airlines + Lufthansa,10:10,13:55,0,19h 25,1,FRA,NRT,VNO,1305,1165
1497,2024-05-17,2024-05-24,1780,Turkish Airlines,11:35,08:55,1,15h 20,1,IST,VNO,NRT,LOT,11:35,08:55,1,18h 20,1,WAW,NRT,VNO,920,1100
